seq,status,n_frames,n_gt_samples,fps_from_video,t_frame_monotonic,t_frame_dt_median,t_frame_dt_std,fps_est_median,video_duration_s,gt_duration_s,duration_ratio_gt_over_video,gt_nan_frac,y_nan_frac,gt_std,y_std,y_jump_frac,roi_check_frames,face_fail_frac_est,forehead_strip_pix_med,forehead_strip_pix_min,forehead_strip_pix_zero_frac,left_cheek_big_pix_med,left_cheek_big_pix_min,left_cheek_big_pix_zero_frac,right_cheek_big_pix_med,right_cheek_big_pix_min,right_cheek_big_pix_zero_frac
vid_20,OK,2016,2016,29.505479,True,0.03389201036187206,2.983691355785134e-15,29.505479000000044,68.2924008791723,68.329,1.0005359179111661,0.0,0.0,1.004819623266183,0.9760837276326226,0.0,300,0.0,2803.0,2714.0,0.0,1233.0,1077.0,0.0,1100.0,1023.0,0.0
vid_22,OK,2032,2032,29.750671,True,0.0336126872566993,2.794633673213034e-15,29.750671000001383,68.26736781835946,68.296,1.000419412415559,0.0,0.0,0.9983846995723762,0.9757968479761736,0.0009847365829640572,300,0.0,2860.0,2731.0,0.0,1314.0,1265.0,0.0,1215.0,1178.0,0.0
vid_23,OK,1958,1958,28.935568,True,0.0345595427744847,2.9026408285285835e-15,28.93556799999969,67.63302520966583,67.637,1.000058769962187,0.0,0.0,0.9984695976633566,0.9889460255514048,0.0797138477261114,300,0.0,2489.5,2401.0,0.0,1051.0,967.0,0.0,1364.5,1257.0,0.0
vid_24,OK,2009,2009,29.368114,True,0.0340505352165279,2.862710390515771e-15,29.36811399999982,68.37347471478762,68.423,1.0007243347719121,0.0,0.0,1.0057865655251952,0.969649591381047,0.00099601593625498,300,0.0,3285.0,3213.0,0.0,1455.0,1426.0,0.0,1697.5,1652.0,0.0
vid_25,OK,1448,1448,23.206781,True,0.04309085348803876,5.854482441057156e-16,23.20678099999996,62.35246499719199,62.429,1.0012274575321354,0.0,0.0,1.0028730322051962,0.968632473433267,0.0,300,0.0,2940.0,2768.0,0.0,1237.0,1201.0,0.0,1375.0,1314.0,0.0
vid_26,OK,1485,1485,23.34319,True,0.04283904641996372,2.2006842386497554e-15,23.34318999999923,63.57314488722407,63.553,0.9996831226886792,0.0,0.0,1.0080387066054728,0.9920593250145361,0.07884097035040431,300,0.0,3204.0,3071.0,0.0,1530.0,1491.0,0.0,1463.0,1423.0,0.0
vid_27,OK,1431,1431,23.36482,True,0.042799388139947325,8.900176877094422e-16,23.364819999999906,61.20312504012442,61.192,0.9998182275804197,0.0,0.0,1.0158797742576773,1.0039905653299201,0.025174825174825177,300,0.0,4117.0,3751.0,0.0,1700.0,1556.0,0.0,1809.0,1503.0,0.0
vid_3,OK,1801,1801,29.548271,True,0.03384292773001896,2.4655539809017687e-15,29.54827099999956,60.91726991403321,60.929,1.0001925576438888,0.0,0.0,1.023066408682712,0.996553976373253,0.0011111111111111111,300,0.0,3537.0,3373.0,0.0,1371.0,1262.0,0.0,1472.0,1418.0,0.0
vid_30,OK,2028,2028,29.782047,True,0.03357727559828305,2.3341315477901068e-15,29.782046999999434,68.06113763771846,68.066,1.0000714410962013,0.0,0.0,0.9921280422969941,0.9785581393506354,0.01480019733596448,300,0.0,2051.0,1872.0,0.0,1121.5,1024.0,0.0,1135.0,1072.0,0.0
vid_31,OK,2027,2027,29.61737,True,0.0337639702647472,2.8955703151014043e-15,29.617369999999532,68.40580375637674,68.435,1.0004268094521225,0.0,0.0,0.999471373636938,0.9850426158432095,0.0014807502467917078,300,0.0,3488.0,3334.0,0.0,1391.0,1338.0,0.0,1639.0,1519.0,0.0
vid_32,OK,2033,2033,29.848606,True,0.0335024020887289,2.4421559022473383e-15,29.84860599999863,68.076881044294,68.093,1.0002367757667323,0.0,0.0,1.007507179519061,0.9867678576703103,0.011318897637795276,300,0.0,2437.5,2246.0,0.0,1138.0,1086.0,0.0,1254.0,1204.0,0.0
vid_33,OK,1999,1999,29.214989,True,0.03422900484405389,2.9914973016827207e-15,29.214989000000553,68.38955167842097,68.451,1.0008985045240237,0.0,0.0,1.0012077901551482,0.9640544001254773,0.0,300,0.0,1681.5,1593.0,0.0,860.0,822.0,0.0,871.0,822.0,0.0
vid_34,OK,2035,2035,29.975691,True,0.033360365237285805,1.7806725741885616e-15,29.975690999999372,67.8549828926379,67.861,1.000088675983776,0.0,0.0,1.0043242564375057,0.9704255380388853,0.0,300,0.0,3250.0,3131.0,0.0,1568.0,1495.0,0.0,1480.0,1428.0,0.0
vid_35,OK,2051,2051,29.906009,True,0.03343809600271186,2.2340107186856576e-15,29.90600900000105,68.54809680556171,68.528,0.9997068218302441,0.0,0.0,0.9921365825035222,0.9766370125448637,0.0,300,0.0,2657.0,2412.0,0.0,1345.5,1291.0,0.0,1460.5,1369.0,0.0
vid_36,OK,2052,2052,29.906621,True,0.03343741173568304,2.522308127175561e-15,29.906620999999255,68.58013146988421,68.583,1.0000418274222331,0.0,0.0,1.0001113819956322,0.9761160753202167,0.0,300,0.0,4114.5,3888.0,0.0,1650.0,1606.0,0.0,1614.0,1547.0,0.0
vid_37,OK,2032,2032,29.790706,True,0.03356751598971819,2.6626937255609286e-15,29.790706000000192,68.17562497511808,68.152,0.9996534688882324,0.0,0.0,1.0100853937329264,0.9958917217875928,0.041851304775972424,300,0.0,1783.0,1621.0,0.0,1068.0,1006.0,0.0,1127.0,1061.0,0.0
vid_38,OK,2050,2050,29.91989,True,0.033422582770191056,2.9571630029200136e-15,29.91988999999965,68.48287209612067,68.501,1.0002647071205466,0.0,0.0,1.0001114566170106,0.9761887886897193,0.0009760858955588092,300,0.0,2637.5,2263.0,0.0,1377.0,1317.0,0.0,1491.0,1409.0,0.0
vid_39,OK,2037,2037,29.690991,True,0.03368025001253727,1.0249364622797726e-15,29.690991000000178,68.5729890255263,68.54,0.9995189209921416,0.0,0.0,1.003744767320195,0.9797486803124529,0.0009823182711198428,300,0.0,4261.5,4152.0,0.0,1813.0,1756.0,0.0,1656.5,1602.0,0.0
vid_4,OK,1368,1368,29.609362,True,0.03377310189932459,2.085953050059382e-15,29.609362000000317,46.167830296377204,46.234,1.001433242653987,0.0,0.0,1.0165862002709836,0.9971626419956637,0.016093635698610095,300,0.0,2999.0,2828.0,0.0,1364.0,1326.0,0.0,1603.0,1549.0,0.0
vid_40,OK,2028,2028,29.81839,True,0.03353635122486498,2.8334803267747867e-15,29.81838999999995,67.9781839328012,68.001,1.0003356380809079,0.0,0.0,1.0078439081954074,0.9919236247216616,0.04785397138628515,300,0.0,3517.0,3298.0,0.0,1311.0,1256.0,0.0,1499.0,1418.0,0.0
vid_41,OK,2037,2037,29.755366,True,0.033607383622840103,2.8976825539082498e-15,29.755365999999604,68.42463305610154,68.447,1.0003268843821218,0.0,0.0,1.0055684990518048,0.9872779604560071,0.0,300,0.0,3505.5,3179.0,0.0,1235.5,1128.0,0.0,1486.0,1427.0,0.0
vid_42,OK,2042,2042,29.948009,True,0.033391201398396575,2.9026919167850706e-15,29.9480090000002,68.15144205412787,68.166,1.0002136117070064,0.0,0.0,1.0069866817254094,0.9896036006994138,0.01910828025477707,300,0.0,3572.0,3479.0,0.0,1505.5,1454.0,0.0,1486.0,1442.0,0.0
vid_43,OK,2009,2009,29.342154,True,0.03408066088127004,2.868499834663282e-15,29.34215399999996,68.43396704959015,68.445,1.000161220383466,0.0,0.0,0.9989574637391623,0.9778575088865659,0.0099601593625498,300,0.0,2890.0,2685.0,0.0,1499.0,1419.0,0.0,1437.0,1372.0,0.0
vid_44,OK,2017,2017,29.586137,True,0.03379961365013617,2.969008536017766e-15,29.586137000000033,68.1400211186746,68.077,0.9990751232881945,0.0,0.0,1.0002103122387442,0.987090426755441,0.009424603174603174,300,0.0,2668.0,2533.0,0.0,1203.0,1134.0,0.0,1315.0,1247.0,0.0
vid_45,OK,2032,2032,29.950633,True,0.0333882759673223,2.8671134371574572e-15,29.950633000000295,67.81158848963226,67.828,1.0002420163092074,0.0,0.0,0.9851140380302891,0.9611150464120736,0.0019694731659281144,300,0.0,4399.5,4153.0,0.0,1840.0,1784.0,0.0,1831.0,1744.0,0.0
vid_46,OK,1991,1991,29.245634,True,0.0341931380253202,2.964799612090975e-15,29.245634000000077,68.04434467038739,68.104,1.0008767125306532,0.0,0.0,1.003457687867268,0.9812529769829843,0.004020100502512563,300,0.0,3038.0,2942.0,0.0,1308.5,1237.0,0.0,1320.0,1275.0,0.0
vid_47,OK,2023,2023,29.789803,True,0.03356853350121014,2.489754928566196e-15,29.78980300000148,67.87557473945027,67.902,1.0003893191424333,0.0,0.0,0.9933966116110573,0.974143221672412,0.0,300,0.0,2900.0,2771.0,0.0,1303.0,1275.0,0.0,1349.0,1256.0,0.0
vid_48,OK,1956,1956,28.768204,True,0.03476059888896721,2.775129464456716e-15,28.768204000000516,67.95697082793211,68.033,1.0011187840061382,0.0,0.0,1.0088715374261576,0.9951454746529614,0.010230179028132993,300,0.0,1842.0,1670.0,0.0,1285.0,1184.0,0.0,1151.0,939.0,0.0
vid_49,OK,2034,2034,29.778838,True,0.033580893922053434,2.8996410434372055e-15,29.77883799999959,68.26995734353369,68.302,1.0004693522262667,0.0,0.0,0.9952371908074791,0.9771849643449497,0.0014756517461878996,300,0.0,3237.0,3031.0,0.0,1508.0,1438.0,0.0,1404.0,1339.0,0.0
vid_5,OK,1550,1550,29.661806,True,0.03371338886108255,2.246908274201816e-15,29.66180600000025,52.222039345817315,52.368,1.002795001038089,0.0,0.0,0.9850117245863078,0.9565924588980949,0.0,300,0.0,3555.0,3447.0,0.0,1949.0,1867.0,0.0,1972.0,1933.0,0.0
vid_8,OK,2022,2022,29.888441,True,0.033457750439374934,2.2576595153033984e-15,29.888441000000544,67.61811363797797,67.638,1.0002940981484414,0.0,0.0,1.0088291311064783,0.9852870185639291,0.0004948045522018803,300,0.0,5131.0,5008.0,0.0,2210.0,2153.0,0.0,1914.0,1759.0,0.0
vid_9,OK,2016,2016,29.539667,True,0.03385278513803058,2.5305549524441123e-15,29.539667000000815,68.2133620531335,68.256,1.0006250673707198,0.0,0.0,0.9994246902597949,0.9756167125424797,0.010918114143920596,300,0.0,2988.0,2840.0,0.0,1408.0,1351.0,0.0,1243.0,1199.0,0.0
