dataset,seq,subject_id,path,T,C,t_start,t_end,roi_names,passed,fps_est,duration_ratio
UBFC,'vid_33,vid_33,Dataset/3_ROI/UBFC_RAW/vid_33.npz,1999,9,0.0,68.38955167842097,"forehead_strip,left_cheek_big,right_cheek_big",,29.214989000000553,1.0008985045240237
UBFC,'vid_34,vid_34,Dataset/3_ROI/UBFC_RAW/vid_34.npz,2035,9,0.0,67.8549828926379,"forehead_strip,left_cheek_big,right_cheek_big",,29.975690999999372,1.000088675983776
UBFC,'vid_35,vid_35,Dataset/3_ROI/UBFC_RAW/vid_35.npz,2051,9,0.0,68.54809680556171,"forehead_strip,left_cheek_big,right_cheek_big",,29.90600900000105,0.9997068218302441
UBFC,'vid_36,vid_36,Dataset/3_ROI/UBFC_RAW/vid_36.npz,2052,9,0.0,68.58013146988421,"forehead_strip,left_cheek_big,right_cheek_big",,29.906620999999255,1.0000418274222331
UBFC,'vid_37,vid_37,Dataset/3_ROI/UBFC_RAW/vid_37.npz,2032,9,0.0,68.17562497511808,"forehead_strip,left_cheek_big,right_cheek_big",,29.790706000000192,0.9996534688882324
UBFC,'vid_38,vid_38,Dataset/3_ROI/UBFC_RAW/vid_38.npz,2050,9,0.0,68.48287209612067,"forehead_strip,left_cheek_big,right_cheek_big",,29.91988999999965,1.0002647071205466
UBFC,'vid_39,vid_39,Dataset/3_ROI/UBFC_RAW/vid_39.npz,2037,9,0.0,68.5729890255263,"forehead_strip,left_cheek_big,right_cheek_big",,29.690991000000178,0.9995189209921416
UBFC,'vid_4,vid_4,Dataset/3_ROI/UBFC_RAW/vid_4.npz,1368,9,0.0,46.167830296377204,"forehead_strip,left_cheek_big,right_cheek_big",,29.609362000000317,1.001433242653987
UBFC,'vid_40,vid_40,Dataset/3_ROI/UBFC_RAW/vid_40.npz,2028,9,0.0,67.9781839328012,"forehead_strip,left_cheek_big,right_cheek_big",,29.81838999999995,1.0003356380809079
UBFC,'vid_41,vid_41,Dataset/3_ROI/UBFC_RAW/vid_41.npz,2037,9,0.0,68.42463305610154,"forehead_strip,left_cheek_big,right_cheek_big",,29.755365999999604,1.0003268843821218
UBFC,'vid_42,vid_42,Dataset/3_ROI/UBFC_RAW/vid_42.npz,2042,9,0.0,68.15144205412787,"forehead_strip,left_cheek_big,right_cheek_big",,29.9480090000002,1.0002136117070064
UBFC,'vid_43,vid_43,Dataset/3_ROI/UBFC_RAW/vid_43.npz,2009,9,0.0,68.43396704959015,"forehead_strip,left_cheek_big,right_cheek_big",,29.34215399999996,1.000161220383466
UBFC,'vid_44,vid_44,Dataset/3_ROI/UBFC_RAW/vid_44.npz,2017,9,0.0,68.1400211186746,"forehead_strip,left_cheek_big,right_cheek_big",,29.586137000000033,0.9990751232881945
UBFC,'vid_45,vid_45,Dataset/3_ROI/UBFC_RAW/vid_45.npz,2032,9,0.0,67.81158848963226,"forehead_strip,left_cheek_big,right_cheek_big",,29.950633000000295,1.0002420163092074
UBFC,'vid_46,vid_46,Dataset/3_ROI/UBFC_RAW/vid_46.npz,1991,9,0.0,68.04434467038739,"forehead_strip,left_cheek_big,right_cheek_big",,29.245634000000077,1.0008767125306532
UBFC,'vid_47,vid_47,Dataset/3_ROI/UBFC_RAW/vid_47.npz,2023,9,0.0,67.87557473945027,"forehead_strip,left_cheek_big,right_cheek_big",,29.78980300000148,1.0003893191424333
UBFC,'vid_48,vid_48,Dataset/3_ROI/UBFC_RAW/vid_48.npz,1956,9,0.0,67.95697082793211,"forehead_strip,left_cheek_big,right_cheek_big",,28.768204000000516,1.0011187840061382
UBFC,'vid_49,vid_49,Dataset/3_ROI/UBFC_RAW/vid_49.npz,2034,9,0.0,68.26995734353369,"forehead_strip,left_cheek_big,right_cheek_big",,29.77883799999959,1.0004693522262667
UBFC,'vid_5,vid_5,Dataset/3_ROI/UBFC_RAW/vid_5.npz,1550,9,0.0,52.222039345817315,"forehead_strip,left_cheek_big,right_cheek_big",,29.66180600000025,1.002795001038089
UBFC,'vid_8,vid_8,Dataset/3_ROI/UBFC_RAW/vid_8.npz,2022,9,0.0,67.61811363797797,"forehead_strip,left_cheek_big,right_cheek_big",,29.888441000000544,1.0002940981484414
UBFC,'vid_9,vid_9,Dataset/3_ROI/UBFC_RAW/vid_9.npz,2016,9,0.0,68.2133620531335,"forehead_strip,left_cheek_big,right_cheek_big",,29.539667000000815,1.0006250673707198
