seq,status,n_img_ts,n_frames_extracted,n_gt_ts,t_frame_monotonic,t_frame_dt_median,t_frame_dt_std,fps_est_median,video_duration_s,gt_duration_s,duration_ratio_gt_over_video,frame_count_mismatch,gt_nan_frac,y_nan_frac,gt_std,y_std,y_jump_frac,y_min,y_max,roi_check_frames,face_fail_frac_est,forehead_strip_pix_med,forehead_strip_pix_min,forehead_strip_pix_zero_frac,left_cheek_big_pix_med,left_cheek_big_pix_min,left_cheek_big_pix_zero_frac,right_cheek_big_pix_med,right_cheek_big_pix_min,right_cheek_big_pix_zero_frac
02-05,OK,1920,1920,3817,True,0.033338000000000534,1.1386436700934917e-05,29.995800587917213,63.966678,63.96796500000001,1.000020119850526,0,0.0,0.0,16.490397330232618,16.461438118176364,0.031266284523189164,3.0866665840148926,100.994873046875,300,0.0,4810.0,4585.0,0.0,1809.0,1674.0,0.0,2647.0,2082.0,0.0
02-06,OK,1943,1943,3863,True,0.033338000000000534,1.1388515744194302e-05,29.995800587917213,64.73334100000001,64.704002,0.9995467714233998,0,0.0,0.0,15.644332198660218,15.600281412166785,0.006694129763130793,14.001376152038574,80.82952117919922,300,0.0,3194.0,2985.0,0.0,1107.0,947.0,0.0,2197.5,1835.0,0.0
03-01,OK,1974,1974,3923,True,0.03333200000000147,2.1388491073305526e-06,30.001200048000594,65.766677,65.776048,1.0001424885736587,0,0.0,0.0,16.277585944114605,16.297666731505032,0.07754688291941206,0.0,97.0,300,0.0,2899.0,2798.0,0.0,1462.0,1415.0,0.0,1550.0,1508.0,0.0
03-02,OK,2019,2019,4011,True,0.03333200000000147,2.1568154414713068e-06,30.001200048000594,67.266682,67.26396700000001,0.9999596382648992,0,0.0,0.0,18.880128696570225,18.80673510598774,0.07680872150644202,0.0,92.00138092041016,300,0.0,3045.0,2836.0,0.0,1466.0,1409.0,0.0,1586.0,1446.0,0.0
03-03,OK,2200,2200,4357,True,0.03333200000000147,0.002840746536454197,30.001200048000594,73.56668,73.58506200000001,1.0002498685546228,0,0.0,0.0,18.118309844685605,18.052431162160506,0.08594815825375171,5.699499607086182,88.81501770019531,300,0.0,3003.0,2864.0,0.0,1477.0,1408.0,0.0,1439.5,1342.0,0.0
03-04,OK,2245,2245,4454,True,0.03333200000000147,0.002435945603843081,30.001200048000594,75.000009,75.006094,1.0000811333235973,0,0.0,0.0,16.366675630433964,16.31894917187009,0.07709447415329768,10.464442253112793,83.90547943115234,300,0.0,3079.0,2911.0,0.0,1486.5,1289.0,0.0,1552.0,1301.0,0.0
03-05,OK,1935,1935,3842,True,0.03333200000000147,0.0016941025959266104,30.001200048000594,64.566677,64.57767700000001,1.0001703665189399,0,0.0,0.0,18.969932457352034,18.929296927656488,0.08583247156153051,0.0,95.20867156982422,300,0.0,2875.0,2798.0,0.0,1177.0,1095.0,0.0,1704.5,1416.0,0.0
03-06,OK,1950,1950,3864,True,0.03333200000000147,0.0016875668473878848,30.001200048000594,65.066675,65.06222700000001,0.9999316393530175,0,0.0,0.0,19.31384328020484,19.284467830785196,0.07644946126218574,8.609953880310059,91.22140502929688,300,0.0,2531.5,2378.0,0.0,833.0,750.0,0.0,1891.5,1469.0,0.0
04-01,OK,1961,1961,3785,True,0.03333200000000147,0.0027121134608164973,30.001200048000594,65.56667300000001,65.558079,0.9998689273131183,0,0.0,0.0,14.981219076226846,14.899093918396838,0.031122448979591835,0.0,108.52327728271484,300,0.0,3346.0,3168.0,0.0,1538.5,1488.0,0.0,1643.0,1582.0,0.0
04-02,OK,2026,2026,4029,True,0.03333200000000147,2.1569991630241365e-06,30.001200048000594,67.500011,67.503966,1.0000585925830443,0,0.0,0.0,17.21292605400184,17.167183690489324,0.056296296296296296,0.0,86.24822235107422,300,0.0,3109.5,2816.0,0.0,1527.0,1430.0,0.0,1459.5,1080.0,0.0
04-03,OK,2269,2269,4497,True,0.03333200000000147,2.1484357386149513e-06,30.001200048000594,75.600014,75.57557,0.9996766667265432,0,0.0,0.0,16.056800308824545,15.999859464048791,0.04894179894179894,5.0,110.16848754882812,300,0.0,3524.5,3356.0,0.0,1778.0,1712.0,0.0,1325.0,1264.0,0.0
04-04,OK,2281,2281,4533,True,0.03333200000000147,2.1480260359734803e-06,30.001200048000594,76.00001,76.004981,1.0000654078861304,0,0.0,0.0,14.453987529912991,14.350736936460525,0.054385964912280704,8.0,120.1764907836914,300,0.0,3294.0,3187.0,0.0,1688.0,1598.0,0.0,1293.0,1122.0,0.0
04-05,OK,1950,1950,3876,True,0.03333200000000147,2.151656940952388e-06,30.001200048000594,64.966679,64.99195,1.0003889840205624,0,0.0,0.0,21.21774484330321,21.14996430655173,0.040533606977937404,12.579177856445312,95.0,300,0.0,3221.5,2966.0,0.0,1270.0,1203.0,0.0,1793.0,1359.0,0.0
04-06,OK,1962,1962,3890,True,0.03333200000000147,0.0023781506045720746,30.001200048000594,65.56667300000001,65.576924,1.0001563446722392,0,0.0,0.0,22.522087910856925,22.450192621244828,0.06119326874043855,4.0,105.32050323486328,300,0.0,2937.0,2700.0,0.0,1122.0,811.0,0.0,1847.5,801.0,0.0
05-01,OK,1984,1984,3939,True,0.03333200000000147,0.001058000400265594,30.001200048000594,66.166678,66.151475,0.999770231777391,0,0.0,0.0,16.51625678065686,16.469579439274902,0.06908724155320221,13.0,87.8659896850586,300,0.0,4286.0,3943.0,0.0,2179.0,2061.0,0.0,2472.0,2384.0,0.0
05-02,OK,2006,2006,3989,True,0.03333200000000147,2.1472405485637077e-06,30.001200048000594,66.833348,66.847965,1.0002187081814307,0,0.0,0.0,19.849285143509782,19.83484861148346,0.012468827930174564,0.0,127.0,300,0.0,4454.5,4207.0,0.0,2327.0,2165.0,0.0,2373.0,2245.0,0.0
05-03,OK,2279,2279,4523,True,0.03333200000000147,0.0009871708894140315,30.001200048000594,76.00001,75.990137,0.9998700921223563,0,0.0,0.0,17.92242809870423,17.86008638992256,0.056189640035118525,9.0,91.96662902832031,300,0.0,4996.5,4844.0,0.0,2513.0,2427.0,0.0,2469.5,2344.0,0.0
05-04,OK,2311,2311,4580,True,0.03333200000000147,0.0016978754046847503,30.001200048000594,77.13335000000001,77.12535000000001,0.9998962835141998,0,0.0,0.0,18.60284557134189,18.50311859052255,0.02813852813852814,0.0,102.75231170654297,300,0.0,5006.0,4641.0,0.0,2507.5,2256.0,0.0,2397.5,2095.0,0.0
05-05,OK,1963,1963,3889,True,0.03333200000000147,0.0007524032202340397,30.001200048000594,65.433344,65.423867,0.9998551655865241,0,0.0,0.0,16.92982240386418,16.90541658178372,0.0581039755351682,0.0,89.08525848388672,300,0.0,4425.0,3631.0,0.0,1916.5,1208.0,0.0,2744.5,1332.0,0.0
05-06,OK,1961,1961,3870,True,0.03333200000000147,0.0031898243540880657,30.001200048000594,65.66668,65.64528,0.9996741117412971,0,0.0,0.0,19.684838643573695,19.602773852403203,0.04693877551020408,0.025001563131809235,99.0,300,0.0,3200.0,2933.0,0.0,518.5,362.0,0.0,3156.5,1722.0,0.0
06-01,OK,1971,1971,3896,True,0.03333299999999895,0.00225137996406759,30.000300003000977,65.833342,65.845473,1.0001842683301723,0,0.0,0.0,17.111605971679708,17.05673032337136,0.09695431472081219,5.0,97.1802978515625,300,0.0,2892.5,2618.0,0.0,1426.0,1344.0,0.0,1725.0,1589.0,0.0
06-03,OK,2269,2269,4510,True,0.03333299999999895,4.612731633071436e-06,30.000300003000977,75.600015,75.599665,0.9999953703712889,0,0.0,0.0,18.214602728248632,18.16672432526264,0.08421516754850088,0.0,102.18800354003906,300,0.0,2734.0,2593.0,0.0,1485.0,1400.0,0.0,1404.0,1336.0,0.0
06-04,OK,2278,2278,4507,True,0.03333299999999895,4.595302466110132e-06,30.000300003000977,75.90000900000001,75.87067300000001,0.9996134914819311,0,0.0,0.0,14.1780231375039,14.147865317082571,0.06368028107158542,12.0,81.24982452392578,300,0.0,2682.0,2304.0,0.0,1462.5,1390.0,0.0,1414.0,1228.0,0.0
06-05,OK,1959,1959,3894,True,0.03333299999999895,4.6178800362999076e-06,30.000300003000977,65.266688,65.247977,0.9997133147004488,0,0.0,0.0,13.761090790638136,13.71874729020272,0.09193054136874361,17.5861759185791,75.83126831054688,300,0.0,2449.5,2245.0,0.0,1157.0,1014.0,0.0,1735.0,1309.0,0.0
06-06,OK,1969,1969,3912,True,0.03333299999999895,4.609876967380499e-06,30.000300003000977,65.600014,65.62610500000001,1.0003977285736556,0,0.0,0.0,13.675698542119877,13.641616581440195,0.09298780487804878,14.963966369628906,75.76062774658203,300,0.0,1983.5,1867.0,0.0,603.0,505.0,0.0,1842.5,792.0,0.0
07-01,OK,1954,1954,3858,True,0.033343999999999596,0.0029172463603538497,29.99040307101764,65.399991,65.38078,0.9997062537822062,0,0.0,0.0,14.259987442981181,14.141930981576502,0.0,16.0,75.90217590332031,300,0.0,2984.0,2673.0,0.0,1789.5,1699.0,0.0,1497.0,1431.0,0.0
07-02,OK,2108,2108,4187,True,0.033343999999999596,1.458287407084021e-05,29.99040307101764,70.23334200000001,70.22396900000001,0.9998665448669665,0,0.0,0.0,25.32804468628034,25.258922165295,0.0,0.0,127.0,300,0.0,2455.5,2039.0,0.0,1684.0,1580.0,0.0,1212.5,1144.0,0.0
07-03,OK,2257,2257,4484,True,0.033343999999999596,1.4586888800802997e-05,29.99040307101764,75.200007,75.199966,0.9999994547872848,0,0.0,0.0,16.573523024626024,16.490858135681282,0.0,4.0,83.58626556396484,300,0.0,3684.0,3430.0,0.0,1912.0,1850.0,0.0,1702.0,1635.0,0.0
07-04,OK,2270,2270,4490,True,0.033343999999999596,0.0029656537071764194,29.99040307101764,75.966684,75.974501,1.0001029003714312,0,0.0,0.0,15.623724763710639,15.529768574165315,0.0,13.0,86.52275085449219,300,0.0,3142.0,2889.0,0.0,1786.0,1607.0,0.0,1552.0,1474.0,0.0
07-05,OK,1942,1942,3858,True,0.033343999999999596,1.4587133752354394e-05,29.99040307101764,64.700004,64.716728,1.0002584853008665,0,0.0,0.0,22.568210120103604,22.358717053611482,0.0,0.0,118.13174438476562,300,0.0,2691.5,2483.0,0.0,1066.0,975.0,0.0,1930.5,1301.0,0.0
07-06,OK,1960,1960,3896,True,0.033343999999999596,1.45869765736345e-05,29.99040307101764,65.30002,65.312004,1.0001835221489979,0,0.0,0.0,24.585147132319364,24.476866113755158,0.0,0.0,115.73640441894531,300,0.0,2472.5,2197.0,0.0,924.5,785.0,0.0,1905.5,1316.0,0.0
08-01,OK,1963,1963,3902,True,0.03333299999999895,4.616788899096946e-06,30.000300003000977,65.400017,65.42397700000001,1.0003663607610378,0,0.0,0.0,16.929754292360546,16.901091032553204,0.07390417940876656,6.751498699188232,91.0,300,0.0,3947.5,3475.0,0.0,2137.0,2016.0,0.0,1944.0,1809.0,0.0
08-02,OK,1978,1978,3915,True,0.03333299999999895,0.0010596268081045602,30.000300003000977,65.966672,65.993257,1.0004030065363916,0,0.0,0.0,18.31629757348355,18.298211086322006,0.04653515427415276,2.7509379386901855,96.82398223876953,300,0.0,4150.5,3684.0,0.0,2219.0,1976.0,0.0,2003.5,1772.0,0.0
08-03,OK,2259,2259,4471,True,0.03333299999999895,0.002974733436624896,30.000300003000977,75.466685,75.466837,1.0000020141337864,0,0.0,0.0,14.939552911081673,14.90025115962372,0.058015943312666074,8.0,81.0,300,0.0,4038.5,3727.0,0.0,2076.0,2021.0,0.0,1928.0,1861.0,0.0
08-04,OK,2297,2297,4562,True,0.03333299999999895,4.621402021425496e-06,30.000300003000977,76.533359,76.54396700000001,1.0001386062252933,0,0.0,0.0,16.845672032005,16.841264308027963,0.05618466898954704,0.0,95.66816711425781,300,0.0,4203.5,3760.0,0.0,2181.0,2125.0,0.0,1912.5,1795.0,0.0
08-05,OK,1951,1951,3848,True,0.03333299999999895,0.0015092770548532821,30.000300003000977,65.066692,65.052486,0.9997816701669726,0,0.0,0.0,18.76175487297308,18.725549599667293,0.0835897435897436,3.0,77.0,300,0.0,3731.0,3110.0,0.0,1577.0,1386.0,0.0,2477.5,1824.0,0.0
08-06,OK,1964,1964,3906,True,0.03333299999999895,4.618836277244791e-06,30.000300003000977,65.433351,65.408168,0.9996151351013645,0,0.0,0.0,17.982872129863164,17.976407909611428,0.0911869587366276,9.0,80.31016540527344,300,0.0,3389.5,3146.0,0.0,1077.5,837.0,0.0,2598.5,995.0,0.0
09-01,OK,1965,1965,3907,True,0.03333299999999895,4.558948240187376e-06,30.000300003000977,65.46665300000001,65.47198900000001,1.0000815071453248,0,0.0,0.0,12.99341507977755,12.976576537823265,0.059063136456211814,19.0,79.50080871582031,300,0.0,4942.0,4838.0,0.0,2425.0,2364.0,0.0,2600.0,2540.0,0.0
09-02,OK,2017,2017,4010,True,0.03333299999999895,4.601009407174445e-06,30.000300003000977,67.20001,67.199951,0.99999912202394,0,0.0,0.0,17.519047218426184,17.44880007703407,0.06547619047619048,0.0,99.6707534790039,300,0.0,4050.5,3820.0,0.0,2189.0,2049.0,0.0,1936.5,1845.0,0.0
09-03,OK,2285,2285,4544,True,0.03333299999999895,4.591314306893887e-06,30.000300003000977,76.13333800000001,76.15998,1.000349938682578,0,0.0,0.0,15.485962523056497,15.473148603089468,0.06129597197898424,0.0,86.83383178710938,300,0.0,4689.0,4584.0,0.0,2421.0,2322.0,0.0,1937.5,1792.0,0.0
09-04,OK,2579,2579,5119,True,0.03333299999999895,4.598633506339653e-06,30.000300003000977,85.93334300000001,85.945108,1.0001369084407667,0,0.0,0.0,19.503124033121303,19.508998339596328,0.07719162141194724,2.122009038925171,102.44117736816406,300,0.0,4689.0,4526.0,0.0,2499.5,2423.0,0.0,1724.0,1531.0,0.0
09-05,OK,1962,1962,3894,True,0.03333299999999895,4.621178079048795e-06,30.000300003000977,65.366685,65.37690500000001,1.000156348757781,0,0.0,0.0,18.512454860906086,18.49460952457961,0.0719020907700153,5.8328857421875,95.0,300,0.0,4285.0,4025.0,0.0,2084.5,1487.0,0.0,2129.5,2017.0,0.0
09-06,OK,1983,1983,3943,True,0.03333299999999895,4.590910927283443e-06,30.000300003000977,66.06667,66.063922,0.9999584056529564,0,0.0,0.0,13.574051596002027,13.530470229444852,0.06609485368314834,16.0,76.17012023925781,300,0.0,3779.5,3480.0,0.0,1269.0,891.0,0.0,2708.5,2068.0,0.0
10-01,OK,1952,1952,3880,True,0.033343999999999596,0.0021335137230168617,29.99040307101764,65.166703,65.19597,1.0004491097240258,0,0.0,0.0,18.86212609936683,18.80484361638406,0.0005125576627370579,10.0,85.99402618408203,300,0.0,4613.0,4465.0,0.0,2188.0,2092.0,0.0,2385.0,2299.0,0.0
10-02,OK,1993,1993,3952,True,0.033343999999999596,1.4582484267020048e-05,29.99040307101764,66.400018,66.436249,1.000545647442445,0,0.0,0.0,15.471010280769404,15.386141828425288,0.004518072289156626,0.0,99.31044006347656,300,0.0,4381.5,4206.0,0.0,2270.5,2126.0,0.0,1925.0,1667.0,0.0
10-03,OK,2300,2300,4561,True,0.033343999999999596,0.001553956511131445,29.99040307101764,76.73336,76.734184,1.0000107384845391,0,0.0,0.0,17.111941833225007,17.02299065737698,0.01783384080034798,0.0,102.0,300,0.0,4497.5,4257.0,0.0,2120.5,2000.0,0.0,2009.0,1945.0,0.0
10-04,OK,2337,2337,4630,True,0.033343999999999596,0.00137916637633385,29.99040307101764,77.93333200000001,77.93064600000001,0.9999655346444061,0,0.0,0.0,17.15141050090234,17.040273076764926,0.0012842465753424657,8.0,89.8345947265625,300,0.0,4316.0,4105.0,0.0,1883.5,1841.0,0.0,2001.0,1815.0,0.0
10-05,OK,1959,1959,3889,True,0.033343999999999596,1.4585065427146878e-05,29.99040307101764,65.266675,65.26752400000001,1.0000130081699428,0,0.0,0.0,20.12030490758341,20.02945810325572,0.02349336057201226,6.414327621459961,109.01249694824219,300,0.0,4328.0,4129.0,0.0,1575.5,1513.0,0.0,2626.5,1545.0,0.0
10-06,OK,1950,1950,3875,True,0.033343999999999596,0.0007547956534868362,29.99040307101764,65.000011,65.011497,1.0001767076624033,0,0.0,0.0,13.74893990562967,13.73534612988823,0.0035915854284248334,13.387304306030273,79.27950286865234,300,0.0,3973.0,3739.0,0.0,1230.5,1024.0,0.0,2799.5,1389.0,0.0
