seq,status,n_frames,video_duration_s,gt_duration_s,duration_ratio_gt_over_video,t_frame_monotonic,t_frame_dt_median,t_frame_dt_std,fps_est_median,gt_nan_frac,y_nan_frac,gt_std,y_std,y_jump_frac,forehead_strip_zero_rgb_frac_est,left_cheek_big_zero_rgb_frac_est,right_cheek_big_zero_rgb_frac_est
s12_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9986673431627514,0.003320683111954459,0.0,0.0,0.0
s12_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9980303802400678,0.0028462998102466793,0.0,0.0,0.0
s13_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.99769125717436,0.003004427577482606,0.0,0.0,0.0
s13_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.998772642116337,0.007906388361796331,0.0,0.0,0.0
s13_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9977967136291741,0.005376344086021506,0.0,0.0,0.0
s14_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9972355935309674,0.0004743833017077799,0.0,0.0,0.0
s14_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.9974742184524338,0.013282732447817837,0.0,0.0,0.0
s14_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9983157639678767,0.011543327008222644,0.0,0.0,0.0
s15_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9984790923693134,0.0015812776723592662,0.0,0.0,0.0
s15_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9985051966788211,0.006641366223908918,0.0,0.0,0.0
s15_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.9982360993479186,0.002055660974067046,0.0,0.0,0.0
s16_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9980153422151715,0.0006325110689437065,0.0,0.0,0.0
s16_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9985121409465691,0.009013282732447819,0.0,0.0,0.0
s16_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9979557633139555,0.003320683111954459,0.0,0.0,0.0
s17_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9964770941431182,0.0,0.0,0.0,0.0
s17_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9978244595682344,0.003004427577482606,0.0,0.0,0.0
s17_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.998565357973962,0.0028462998102466793,0.0,0.0,0.0
s18_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9960845366512247,0.0,0.0,0.0,0.0
s18_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.997017407237596,0.0004743833017077799,0.0,0.0,0.0
s18_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9974886499355958,0.0004743833017077799,0.0,0.0,0.0
s19_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.9976199388663816,0.004111321948134092,0.0,0.0,0.0
s19_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9972455662815862,0.024667931688804556,0.0,0.0,0.0006324110671936759
s19_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.998019597474082,0.03415559772296015,0.0,0.0,0.0
s2_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9983725369603055,0.0006325110689437065,0.0,0.0,0.0
s2_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.9984866124121377,0.0004743833017077799,0.0,0.0,0.0
s2_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9981419674073052,0.004427577482605946,0.0,0.0,0.0
s20_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.998070462909951,0.00031625553447185326,0.0,0.0,0.0
s20_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9979926076046927,0.002688172043010753,0.0,0.0,0.0
s20_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9982623141426217,0.006641366223908918,0.0,0.0,0.0
s3_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.997240295413704,0.0,0.0,0.0,0.0
s3_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9977382778198166,0.001265022137887413,0.0,0.0,0.0
s3_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999998,0.9974151242202299,0.0031625553447185324,0.0,0.0,0.0
s4_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.998520248359203,0.003320683111954459,0.0,0.0,0.0
s4_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9986505561205344,0.001265022137887413,0.0,0.0,0.0
s4_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.998506471769149,0.0009487666034155598,0.0,0.00031620553359683795,0.0
s5_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9977170302412911,0.0023719165085388993,0.0,0.0,0.0
s5_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.998446474117549,0.010752688172043012,0.0,0.0,0.0
s5_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9986517894465026,0.021347248576850095,0.0,0.0,0.0
s6_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9975280007130776,0.0007906388361796331,0.0,0.0,0.0
s6_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9985442514626385,0.012017710309930424,0.0,0.0,0.0
s6_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.9974862300450711,0.013282732447817837,0.0,0.0,0.0
s7_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.998402182087515,0.0,0.0,0.0,0.0
s7_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9982409131708351,0.010910815939278937,0.0,0.0,0.0
s7_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.9984421532642234,0.01502213788741303,0.0,0.0,0.0
s8_T1,OK,6324,179.94763503898915,179.984375,1.000204170291001,True,0.028459217940692838,8.211800447756031e-15,35.13799999999772,0.0,0.0,1.0,0.9976850514670296,0.0,0.0,0.0,0.0
s8_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.9980126318100642,0.008380771663504111,0.0,0.0,0.0
s8_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9977403110835441,0.046647691334598354,0.0,0.0,0.0
s9_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9973822826348141,0.009487666034155597,0.0,0.0,0.0
s9_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9980340154567717,0.0028462998102466793,0.0,0.0,0.0
s9_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9986606407596779,0.0006325110689437065,0.0,0.0,0.0
